-69,-100,98,28
94,-2,71,-57
49,41,53,-7
97,16,-30,-2
-56,-10,61,-65
-84,46,-21,4
-68,-68,-1,28
93,-73,96,-55
-93,15,-99,55
-57,52,-4,59
-78,-39,-86,-85
48,74,62,-37
-42,-72,56,39
88,-80,-54,-48
-28,-61,48,14
-12,-3,-55,91
86,52,10,-61
85,66,-90,94
30,-51,-80,-74
-43,-78,-19,63
44,10,-16,-16
63,-51,-71,-85
33,-60,-39,-93
-95,52,28,0
18,-30,-55,-15
-15,-76,-72,28
-78,-32,-18,-42
16,27,87,97
12,-80,80,-19
-63,29,-61,71
35,-43,-41,33
-21,70,-11,16
-66,-67,76,-66
41,-78,80,99
-90,56,69,90
93,54,53,-84
9,46,-6,-21
71,74,45,-79
6,26,-5,20
-24,-57,-5,96
-28,100,7,-74
74,-10,-56,-66
-63,63,90,76
-50,-19,10,98
-64,94,-90,1
-71,63,79,32
20,-83,-96,19
-39,17,15,83
-34,28,-85,-60
-11,87,98,-16
-44,36,-78,-57
57,5,7,93
37,-85,-40,-73
51,70,75,19
-86,21,-25,16
16,31,43,48
-33,62,-48,67
63,90,-68,85
18,-73,70,80
-3,-84,-100,61
-27,2,-25,87
73,-8,-67,-38
-13,18,-25,58
85,-11,-83,51
-83,4,7,17
-58,12,73,-24
-34,56,89,-98
-34,-59,96,-76
34,-71,-19,63
56,-48,19,8
45,-78,-14,7
24,64,-61,97
-68,-51,39,-60
-18,-95,39,87
72,32,57,-69
3,-31,-74,-19
75,32,6,-42
44,37,5,-62
-48,25,-71,-28
-40,43,-8,-68
66,7,-36,100
-10,-58,73,-85
-60,41,-92,33
6,73,58,-57
-47,-55,-7,80
8,-80,26,81
-11,-79,-74,68
25,-3,14,3
92,-24,91,85
19,56,-4,84
64,89,7,31
90,-71,-18,59
-49,31,-57,60
-13,3,-19,21
28,18,-89,-63
30,38,-41,-68
-86,-75,-33,-6
92,-49,43,74
-68,47,-76,-52
-97,12,-72,-17
-96,-85,29,-47
-21,-1,53,81
54,0,-66,38
-31,38,-22,-77
83,75,-90,-60
-15,-34,53,-62
24,27,74,65
3,45,-52,31
-70,8,-41,-82
88,6,92,-82
95,-6,-17,94
-40,-98,18,49
-23,-98,67,-66
40,54,41,-40
16,96,77,-82
2,-82,-50,41
30,50,-62,50
-81,-25,-28,-84
63,-89,-34,27
89,-39,-78,96
-71,-85,34,3
-85,63,83,-33
34,-43,16,36
-91,62,-99,-75
66,66,54,-8
-36,-64,53,-15
-92,-58,-35,71
-8,-36,67,9
-29,-84,-68,77
-38,-37,62,-27
-94,47,64,73
-48,-67,53,52
88,-43,26,100
63,-66,-19,7
64,-18,-81,-93
